Query,Title,ID,Similarity,Release_Date,Developer,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews
Recommended 2D fighters for beginner players,The King of Fighters EX: Neo Blood,6673,0.27993313944375064,"Nov 05, 2002",,"Invitations to the King of Fighters Tournament have been sent to the best fighters in the world by an unknown host. Despite suspicions of an evil scheme, the fighters are ready to enter the arena to determine who the true King of Fighters will be.",Game Boy Advance,Fighting,2.6,82.0,1.0,8.0,12.0,25.0,8.0
Recommended 2D fighters for beginner players,U.S. Navy Fighters - Marine Fighters,11757,0.25249487710339713,"Dec 31, 1995",EA,"An expansion pack to U.S. Navy Fighters,",Windows PC,Shooter | Simulator,,0.0,0.0,0.0,0.0,0.0,0.0
Recommended 2D fighters for beginner players,Block,7731,0.23633736373343156,"May 15, 2020",,"""Block"" is a 2D puzzle type game, inspired by ""I wanna fa trap"", which is highly difficult and highly recommended for players who like challenges. In the game, the player mainly controls a box that can change the color to play the game.",Windows PC,Adventure | Indie,,0.0,0.0,1.0,0.0,0.0,0.0
Recommended 2D fighters for beginner players,Pocket Rumble,21636,0.22690915239992732,"Feb 01, 2016",Cardboard Robot Games | Chucklefish Games,"Pocket Rumble is a streamlined, beginner-friendly 2-button fighting game that retains all the gameplay elements that make traditional 2D fighters great, but reduces the level of execution and memorization necessary to the bare minimum.",Windows PC | Nintendo Switch,Fighting | Indie,2.8,67.0,1.0,10.0,19.0,24.0,9.0
Recommended 2D fighters for beginner players,The King of Fighters: World,19345,0.22644935630748175,TBD,,The King of Fighters: World is a mobile MMORPG from SNK.,,Fighting | RPG,,0.0,0.0,0.0,0.0,2.0,0.0
Recommended 2D fighters for beginner players,The King of Fighters XIII,1988,0.22623418887516852,"Jul 14, 2010",SNK Playmore | Atlus,"The King of Fighters XIII is a fighting game in the The King of Fighters series.
The game is set after the events from The King of Fighters XI and is also the conclusion of Ash Crimson's story arc, which started in The King of Fighters 2003. It follows another King of Fighters tournament secretly hosted by Those From the Distance Land, the organization behind the events from the two prior games that are trying to break the seal of the demon Orochi and take its power.",Xbox 360 | PlayStation 3 | Arcade,Arcade | Fighting,3.9,1600.0,27.0,209.0,153.0,248.0,82.0
Recommended 2D fighters for beginner players,The King of Fighters XI,3067,0.220034223738251,"Oct 26, 2005",Sega | SNK Playmore,"The eleventh game in the KOF series following The King of Fighters 2003.
According to Sega: 'For over 10 years, the King of Fighters series has been the choice of game players around the world. The 11th team of fighters continues this tradition. KOF11 is suited for one to two players, with continuous buy-in. Choose from 33 fighters, including 4 new characters. A fifth control button was added to enhance your skills by delivering a devastating blow to your opponent, if hit at the right time. A New Skill Gauge performs a variety of tag-off moves and new attacks. A player can also custom construct a Three-Fighter Tag-Team by selecting three choice combatants.'",PlayStation 3 | Arcade | PlayStation 2,Fighting,3.6,434.0,4.0,63.0,65.0,130.0,25.0
Recommended 2D fighters for beginner players,The King of Fighters 02/03,34092,0.20833732446130399,TBD,,A compilation of both King of Fighters 2002 and 2003 on a single disc release.,,Fighting,,6.0,0.0,1.0,2.0,4.0,0.0
Recommended 2D fighters for beginner players,The King of Fighters All-Star,5807,0.20828106888922326,"Jul 26, 2019",Netmarble Games,"The King of Fighters: All Star is a Netmarble RPG game authorized by SNK, and developed for iOS and Android. This game brings together all the characters of the KOF series, up to The King of Fighters XIV.",Android | iOS,Brawler | Fighting | RPG | Simulator,2.5,114.0,7.0,6.0,3.0,14.0,10.0
Recommended 2D fighters for beginner players,The King of Fighters: Battle de Paradise,17092,0.20604507799273056,TBD,,"The King of Fighters: Battle de Paradise is a minigame collection, similar to Mario Party or Sonic Shuffle, based loosely on The King of Fighters '99.",,,,0.0,0.0,1.0,0.0,2.0,0.0
Recommended 2D fighters for beginner players,ACA Neo Geo: The King of Fighters 2001,26183,0.2058917092328774,"Sep 27, 2018","HAMSTER, Co. | HAMSTER","The King of Fighters 2001 is a fighting game released by SNK in 2001. The third entry in the King of Fighters NESTS collection, which reaches its conclusion at last in this tournament! 40 characters in total battle it out with a variety of fighting styles! Make a team of up to 4 fighters with the new Tactical Order Select system.",PlayStation 4 | Xbox One | Nintendo Switch,Arcade | Fighting,,12.0,0.0,4.0,1.0,3.0,0.0
Recommended 2D fighters for beginner players,Super Smash Bros. Ultimate: Fighters Pass,3328,0.19703005665708462,"Dec 07, 2018",Bandai Namco Studios | Nintendo,"The Fighters Pass gives you access to five Challenger Packs: five fighters, five stages and all their music tracks.
Each Challenger Pack contains 1 new fighter, 1 new stage, and additional music tracks.
Purchasers of the Fighters Pass will also receive an in-game Mii Swordfighter costume: Rex from the Xenoblade Chronicles 2 game.",Nintendo Switch,Fighting,3.9,470.0,3.0,18.0,14.0,21.0,39.0
Recommended 2D fighters for beginner players,Rockman: Power Battle Fighters,20649,0.1916759168006067,TBD,,Ports of the arcade versions of Mega Man: The Power Battle and The Power Fighters.,PlayStation 2,Fighting,3.4,12.0,1.0,1.0,2.0,10.0,1.0
Recommended 2D fighters for beginner players,The King of Fighters: Maximum Impact - Maniax,11710,0.19003378465250867,"Jul 28, 2005",,"The first-ever 3D version of King of Fighters has finally arrived, complete with all your favorite SNK characters. In King of Fighters: Maximum Impact, rival gangs are vying for the chance to rule the underworld of Southtown. As one of more than 16 fighters, you must prove that you're the greatest fighter in the world in five gameplay modes, including Story, Versus, Survival, Practice, and Training. The game's enhanced character movement lets you perform four new jumps, powerful combo moves, and the new Knock Back Attack.",Xbox,,2.9,13.0,0.0,4.0,1.0,6.0,1.0
Recommended 2D fighters for beginner players,The King of Fighters 2000/2001,40843,0.1892835947635725,"Jan 09, 2004",,"A double-pack of the two hardcore fighting games from SNK, King Of Fighters 00/01 features all of the tight gameplay and characters (35+ in KoF 2000, over 40 in KoF 2001) of the arcade hits. New features to the home versions include redesigned character select and menu screens, a new continue system that allows players to handicap the CPU fighters as they progress through the game, an auto-save feature, intro movies from these and other previous King of Fighters games, and special new Strikers not seen in the original games or any other versions of these titles. Game modes including Team Play, Party Mode, and even 4-on-4 bouts (KoF 2001 only for 4-on-4) provide hours of gameplay in these classic 2D fighting games.",PlayStation 2,Fighting,2.9,34.0,1.0,7.0,5.0,9.0,0.0
Recommended 2D fighters for beginner players,The King of Fighters '96,2967,0.18726863885831438,"Jul 30, 1996",SNK,"The King of Fighters '96 is a 1996 fighting game. It is the third game in The King of Fighters series, following The King of Fighters '95.",Neo Geo CD | PlayStation 3 | Arcade | Sega Saturn | Wii | PlayStation | Neo Geo MVS | Neo Geo AES | Nintendo Switch,Fighting | Shooter,3.3,746.0,1.0,80.0,58.0,137.0,29.0
Recommended 2D fighters for beginner players,Battlefield Alliance,25211,0.18412765152817648,"Jul 28, 2017",,"Do not give up your fighters, do not give up your position, do not give up your honor. 
Do not give up your fighters, do not give up your position, do not give up your honor. 
Do not give up your fighters, do not give up your position, do not give up your honor. 
Important thing to say three times!",Windows PC | Mac,Adventure | Indie | RPG | Simulator | Strategy,,0.0,0.0,0.0,0.0,0.0,0.0
Recommended 2D fighters for beginner players,Fighters Legacy,22894,0.17892838808873635,"Aug 01, 2019",,"Fighters Legacy is a 1 on 1 INDIE CASUAL combat game. No flashy over the top effects, just good old fashioned fisticuffs!",Windows PC,Indie,,1.0,0.0,0.0,0.0,0.0,0.0
High-rated indie roguelike deckbuilders,Crystal Fantasy,17045,0.3394764459838188,TBD,,An adults-only rated game.,,,,0.0,0.0,1.0,0.0,1.0,0.0
High-rated indie roguelike deckbuilders,Withersworn,17767,0.300452584842556,TBD,,"Unleash your powers as a Withersworn in this high action, high mobility, and high fantasy adventure.",,Adventure | Indie,,0.0,0.0,3.0,5.0,1.0,0.0
High-rated indie roguelike deckbuilders,Womb Room,18433,0.26758681095184,"Apr 04, 2016",,"Welcome to the Womb Room, the beginning of the end. The ultimate human life simulator. Is this a roguelike? Is life a roguelike?",Windows PC | Mac,Adventure | Simulator,,1.0,0.0,0.0,0.0,0.0,0.0
High-rated indie roguelike deckbuilders,Azrael,7815,0.2574982600745052,TBD,,"A high-flying four player brawler with fast paced, high power combat.",,Indie,,3.0,0.0,1.0,1.0,1.0,3.0
High-rated indie roguelike deckbuilders,Enter the Chronosphere,33285,0.25436335145746797,TBD,,A turn based bullet hell roguelike,,Adventure | Indie | RPG,,0.0,0.0,0.0,1.0,0.0,0.0
High-rated indie roguelike deckbuilders,Play with the Teletubbies,12346,0.2524253238489365,"Jan 01, 1998","Asylum Entertainment Ltd., | Knowledge Adventure","The first Teletubie videogame, Play with Teletubies was low rated.",Windows PC | PlayStation,,2.2,14.0,0.0,1.0,3.0,7.0,1.0
High-rated indie roguelike deckbuilders,Omeganaut,34506,0.24354233913344028,"May 02, 2019",Txori,When Starfox meets roguelike!,Windows PC | Android,Arcade | Shooter,2.0,7.0,0.0,23.0,1.0,11.0,0.0
High-rated indie roguelike deckbuilders,Starr Mazer: DSP,39536,0.23168179630390331,"Aug 26, 2016",,"DSP is side-scrolling, roguelike, shoot 'em up set in the Starr Mazer universe.",Windows PC | Mac | Linux,Indie,3.4,6.0,0.0,2.0,2.0,0.0,1.0
High-rated indie roguelike deckbuilders,Grim Wanderings,17278,0.23075611792451114,"Feb 27, 2018",,Oldschool turn-based roguelike rpg,Windows PC | Mac | Linux,Indie | RPG | Strategy,,0.0,0.0,1.0,0.0,0.0,0.0
High-rated indie roguelike deckbuilders,Lakeview Cabin 2,32287,0.22665205032089064,"Oct 30, 2020",Roope Tamminen,The ultimate 2D horror is back! Dive deep into the diverse world of horror movies! Nothing can prepare you for the R-rated challenges you will face!,Windows PC | Mac,Indie | Strategy,,3.0,1.0,5.0,2.0,0.0,0.0
High-rated indie roguelike deckbuilders,Lakeview Cabin Collection,6422,0.2266073479348079,"Apr 09, 2015",Roope Tamminen,"Delve into the diverse world of horror movies in this 2D action puzzler.
Nothing can prepare you for the R-rated challenges you will face!",Windows PC | Mac,Indie | Puzzle,3.3,69.0,0.0,54.0,14.0,17.0,4.0
High-rated indie roguelike deckbuilders,HyperRogue,15954,0.21848557643260974,"May 03, 2012",Zeno Rogue,A tactical puzzle/roguelike on a hyperbolic plane.,Windows PC | Android | Mac | Linux,Indie | Puzzle,3.2,38.0,3.0,8.0,7.0,11.0,4.0
High-rated indie roguelike deckbuilders,Muck,3711,0.2008637646753628,"Jun 04, 2021",Dani,"Muck is a survival-roguelike. Collect resources, find items & build a base to survive for as long as you can.",Windows PC | Mac | Linux,Adventure | Indie,2.7,928.0,23.0,98.0,15.0,49.0,83.0
High-rated indie roguelike deckbuilders,Conker's High Rule Tail,21969,0.19964568051048556,"Dec 31, 2017",Zeldix,"Are you ready to play a brand new Zelda 3 adventure? Better yet ... Are you ready to play a brand new Conker adventure?
Initially built as a spiritual sequel to Parallel Worlds, this project has evolved so much overtime that eventually it became an unofficial sequel to an M Rated game that
was released late in the Nintendo 64 lifespan, none other than Conker's Bad Fur Day!
Including all the same crude humor found in that Conker game and the many references to movies and games we've come to love.
For obvious reasons, it is also rated ''AO for Adults Only''!",SNES,Adventure | RPG,,6.0,1.0,9.0,6.0,12.0,0.0
High-rated indie roguelike deckbuilders,Roguelike Simulator,22529,0.19931031716182893,"Dec 09, 2019",eevee,"experience nethack, condensed into about 90 seconds",Web browser,Adventure,,1.0,0.0,0.0,0.0,1.0,0.0
High-rated indie roguelike deckbuilders,Riana Rouge,31959,0.1989628412352864,"Dec 31, 1997",Black Dragon Productions | Eidos Interactive,"A full-motion video, point-and-click action-adventure game rated (AO) Adults Only.",Windows PC | Mac,Adventure | Puzzle,,2.0,0.0,5.0,4.0,8.0,0.0
High-rated indie roguelike deckbuilders,"Oreo: Twist, Lick, Dunk",30448,0.1963410708665695,TBD,,"Brought to you by PikPok, makers of the highly rated Rival Stars Basketball, Flick Kick Football Legends and Into the Dead.",,Arcade,2.3,5.0,0.0,0.0,0.0,0.0,0.0
High-rated indie roguelike deckbuilders,Stretch Arcade,19419,0.19551530861327374,"Nov 22, 2019",Top Rated‬,Stretch Arcade is a retro style reaction time trainer for all skill levels.,PlayStation 4 | Xbox One,,2.1,8.0,0.0,1.0,0.0,2.0,0.0
High-rated indie roguelike deckbuilders,The Hypno Shop,27387,0.19488178091667283,"Feb 28, 2022",KingOfSpill,"You have just started your own online business, where you will be commissioned to create the perfect hypnotic spiral to help your clients get off. You'll be rated on how well you fulfill their kinks and other preferences.",Windows PC | Mac | Linux,Puzzle | Simulator,,1.0,0.0,0.0,0.0,0.0,0.0
High-rated indie roguelike deckbuilders,Shadow of the Wyrm,9779,0.19253919740276051,TBD,,Terminal-based roguelike in the tradition of ADOM and Omega.,,,,0.0,0.0,3.0,0.0,0.0,0.0
Free-to-play battle royale games for mobile,Keroro Gunsou: MeroMero Battle Royale,12615,0.5682870215493777,TBD,,,,,,1.0,0.0,0.0,2.0,1.0,0.0
Free-to-play battle royale games for mobile,Z1: Battle Royale,4760,0.5422049601729798,"Feb 28, 2018",Daybreak Game Company,"Z1: Battle Royale is a fast-paced, competitive battle royale shooter. Parachute in and search for weapons, ammo, vehicles and supplies to stay alive. As toxic gas compresses the map, develop a winning strategy and prepare for the final showdown. Z1: Battle Royale is available for free on Windows PC and PlayStation 4.",Windows PC | PlayStation 4,Adventure | Shooter,1.7,283.0,0.0,31.0,1.0,18.0,7.0
Free-to-play battle royale games for mobile,Pixel Battle Royale,17467,0.5189989628684031,"Jan 31, 2019",,Fantastic battle royale inspired game in which you must be the last player standing.,Windows PC,Indie,1.9,5.0,0.0,0.0,1.0,1.0,0.0
Free-to-play battle royale games for mobile,Royale Island Showdown,35369,0.47671165602921567,TBD,,"An online 4 player Battle Royale FPS, where each player has an AI teammate.",,Indie,,1.0,0.0,1.0,0.0,0.0,0.0
Free-to-play battle royale games for mobile,Islands of Nyne: Battle Royale,33107,0.4173209440533878,"Jul 12, 2018",Define Human Studios,"Islands of Nyne: Battle Royale is an online, competitive, first-person shooter inspired by works such as Battle Royale and The Hunger Games. Handpicked by a mysterious alien race and taken to a distant homeworld, 100 players must fight each other to the death in 1 of 3 ever-shrinking arenas. Drop in, find a weapon, and stay alive... for only 1 can emerge victorious. The rest must die!",Windows PC,Indie | Shooter,2.1,15.0,0.0,0.0,0.0,2.0,1.0
Free-to-play battle royale games for mobile,Soccer Battle Royale,27005,0.4114005859097949,"Nov 03, 2018",,"Imagine battle royal and soccer will be combined in one game. This is exactly this game, Soccer Battle Royale.",Windows PC,Indie | Sport,,1.0,0.0,0.0,0.0,0.0,2.0
Free-to-play battle royale games for mobile,Pixel's Unknown Battle Ground,27209,0.4098913201925687,TBD,,Battle Royale multiplayer survival simulator!,,,,0.0,0.0,0.0,1.0,0.0,0.0
Free-to-play battle royale games for mobile,Fortnite,63,0.39547112043276833,"Jul 25, 2017",Epic Games,"Fortnite is the completely free online game where you and your friends fight to be the last one standing in Battle Royale, join forces to make your own Creative games, or catch a live show at Party Royale.",Windows PC | Android | Mac | PlayStation 4 | iOS | Xbox One | PlayStation 5 | Nintendo Switch | Xbox Series,Adventure | RPG | Shooter | Strategy,2.8,20000.0,1100.0,546.0,54.0,967.0,1400.0
Free-to-play battle royale games for mobile,Keroro Gunsou: MeroMero Battle Royale Z,36318,0.37579913370483375,"Nov 17, 2005",Bandai | NOW Production,,PlayStation 2,Fighting,3.1,8.0,0.0,7.0,5.0,5.0,0.0
Free-to-play battle royale games for mobile,Realm Royale Reforged,5629,0.3701510489632975,"Jun 05, 2018",Hi-Rez Studios,"Join 20+ million players and experience a new kind of battle royale in Realm Royale Reforged! Choose your class, forge deadly weapons, and master powerful abilities to be the last champion standing. Mount up alone or with a team to explore a fantasy world while outrunning the deadly fog.",Windows PC | PlayStation 4 | Xbox One | Nintendo Switch,Adventure | Shooter,2.0,791.0,4.0,55.0,2.0,57.0,44.0
Free-to-play battle royale games for mobile,Poostall Royale,30718,0.3696629625968699,"Apr 01, 2023",Running with Scissors,"Don't let the title fool you, this isn't a battle royale game. Maybe this isn't even a game at all...",Windows PC,Shooter,1.2,17.0,0.0,6.0,0.0,7.0,1.0
Free-to-play battle royale games for mobile,Carbon Battle Royale,17071,0.3489812614917645,"Oct 28, 2019",maxhwoy,"Carbon Battle Royale is the supreme combination of features by developers of Endgame Mod and Ultimate Mod, with new story, zones, cars, challenges and more.",Windows PC,Racing,,0.0,0.0,0.0,1.0,1.0,0.0
Free-to-play battle royale games for mobile,Call of Duty: Mobile,2268,0.3441243076831833,"May 14, 2019",Timi | Tencent Games,"The Call of Duty you know and love now on your mobile device. With classic multiplayer modes such as Team Deathmatch, Domination, and Kill-Confirmed on iconic maps such as Shipment, Raid, and Standoff, as well as 100 player Battle Royale, Call of Duty: Mobile has it all!",Android | iOS,Shooter,2.7,1100.0,33.0,36.0,11.0,61.0,40.0
Free-to-play battle royale games for mobile,Brawl Stars,3536,0.34406133035008757,"Dec 12, 2018",Supercell,Fast-paced 3v3 multiplayer and battle royale made for mobile! Play with friends or solo across a variety of game modes in under three minutes.,Android | iOS,MOBA | Shooter | Strategy,2.8,1000.0,61.0,14.0,8.0,47.0,60.0
Free-to-play battle royale games for mobile,Gundam Battle Royale,24330,0.3290178444204068,"Oct 05, 2006",Artdink | Bandai,"Gundam Battle Royale is a game released for the PlayStation Portable. The game was released only in Japan and South Korea on October 5, 2006. The game features many mobile suits and mobile armors from the Universal Century up to and including Zeta Gundam. It is the sequel to Gundam Battle Tactics. A sequel called Gundam Battle Chronicles has been released on 25 October 2007.",PlayStation Portable,,,5.0,0.0,3.0,3.0,2.0,0.0
Free-to-play battle royale games for mobile,Live Free Or Die Hard: The Mobile Game,39334,0.3282873748213614,"Dec 31, 2013",Gameloft,,Mobile,Platform | Shooter,2.5,6.0,0.0,0.0,1.0,1.0,1.0
Free-to-play battle royale games for mobile,Fungi,35973,0.3229398421497407,"Dec 27, 2019",Nonline Studios,"Fungi is a strategic online multiplayer game. Grow from a single cell into a multicellular fungus by leeching mass from other players. With the right strategy even smaller fungi can be a threat, so watch out! Play classic Free For All or hold your own in the exciting Battle Royale.",Windows PC,Strategy,,0.0,0.0,1.0,0.0,0.0,0.0
Free-to-play battle royale games for mobile,Pocket Mine,30366,0.32214066619473286,TBD,,A free-to-play mining game on mobile devices.,,,2.8,3.0,0.0,0.0,0.0,0.0,0.0
Free-to-play battle royale games for mobile,S.T.A.L.K.E.R. Mobile,8365,0.31310248269106167,"Dec 05, 2007",Qplaze | NOMOC Publishing,S.T.A.L.K.E.R. Mobile - a game for mobile devices based on the Java ME platform in the genre of a first-person rail shooter with RPG elements.,Mobile,RPG | Shooter,,4.0,0.0,0.0,0.0,4.0,1.0
Free-to-play battle royale games for mobile,Zombs Royale,18825,0.3118643435338103,"Mar 14, 2017",End Game Interactive,"Dive into the #1 2D battle royale game in the world - now on Discord. 100 player, real-time multiplayer action with vibrant graphics and dynamic gameplay all packed in 5 minute matches. How many victories can you get while decking yourself out in the fresh cosmetics?",Windows PC | Android | iOS | Web browser,Indie | Shooter,2.3,25.0,0.0,0.0,0.0,7.0,3.0
Remastered classic JRPGs on current-gen consoles,Tamagotchi Gen 2,35891,0.2795104359012984,"Feb 01, 1997",Bandai Namco Entertainment Inc.,"The second version of the original Tamagotchi, also known as the ""New Species Discovered!! Tamagotchi"" in Japan, was produced not long after featuring new characters and a new game. The two versions are differentiated officially as ""Gen 1"" and ""Gen 2"".",Handheld Electronic LCD,Simulator,4.3,5.0,2.0,0.0,0.0,2.0,0.0
Remastered classic JRPGs on current-gen consoles,Mortal Kombat: Solano Edition,10979,0.2718095868997192,TBD,,"It is a good edition and compilation of several old school MKs with classic characters, stages, music and even brings editions of characters of the new MKs of current consoles and edits of characters not seen before",Windows PC,,,2.0,0.0,0.0,0.0,1.0,0.0
Remastered classic JRPGs on current-gen consoles,The Last of Us: Left Behind - Remastered,22632,0.2651711824393728,TBD,,,,,3.2,5.0,0.0,1.0,0.0,1.0,0.0
Remastered classic JRPGs on current-gen consoles,Daiku no Gen-san: Robot Teikoku no Yabou,39019,0.24982928931127804,TBD,,,,,,0.0,0.0,2.0,1.0,0.0,0.0
Remastered classic JRPGs on current-gen consoles,Daiku no Gen-San 2: Akage no Dan no Gyakushuu,16781,0.2488130058126341,"Nov 22, 1993",,"Daiku no Gen-San 2: Akage no Dan no Gyakushuu is an Action game, developed by Micronics and published by Irem, which was released in Japan in 1993.",Family Computer (FAMICOM),Platform,,3.0,0.0,4.0,2.0,1.0,0.0
Remastered classic JRPGs on current-gen consoles,Mysterious Island Remastered,39380,0.24540633898678696,TBD,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Remastered classic JRPGs on current-gen consoles,Far Cry 3: Blood Dragon - Classic Edition,34905,0.24388442221499204,"Dec 16, 2021",Ubisoft Pune | Ubisoft Entertainment,"Far Cry 3 Blood Dragon Classic Edition is THE 80's-style sci-fi cyber shooter, taking place on a bizarre open world island crawling with evil - now on the current generation of consoles.",PlayStation 4 | Xbox One,Adventure | Shooter,3.3,105.0,7.0,36.0,15.0,30.0,12.0
Remastered classic JRPGs on current-gen consoles,Command & Conquer: Remastered,6109,0.23590027365848198,"Jun 05, 2020",Petroglyph Games | Electronic Arts,"A remastered version of the original Command & Conquer, part of the 
Command & Conquer Remastered Collection. Created by the former Westwood Studios team members at Petroglyph Games alongside the dedicated community. Every game element has been recreated in 4K detail, including the completely remastered legendary soundtrack by Frank Klepacki.",Windows PC,Real Time Strategy,3.8,76.0,7.0,47.0,16.0,11.0,5.0
Remastered classic JRPGs on current-gen consoles,My Candy Love: New Gen,15326,0.2356119324290553,TBD,Beemoov,"""My Candy Love: New Gen"" is a new game from the My Candy Love franchise that will be released in 2023.",,Visual Novel,,1.0,0.0,0.0,2.0,0.0,0.0
Remastered classic JRPGs on current-gen consoles,Tiger Woods PGA Tour 07,17900,0.22659906969667049,"Oct 10, 2006",Electronic Arts | EA Sports,"This golfing simulation game is the 2007 multi-platform edition of Electronic Arts' Tiger Woods PGA Tour franchise. Although the game's features differ across platforms, most notably from next-gen to current-gen, it has a few things in common across the board: more licensed players, more courses, more game modes, and improved GameFace character creation.",Windows PC | Xbox | Xbox 360 | PlayStation 3 | Wii | PlayStation 2 | PlayStation Portable,Sport,3.0,58.0,0.0,8.0,0.0,9.0,3.0
Remastered classic JRPGs on current-gen consoles,Current Stream,24915,0.21988064336670818,"May 13, 2015",∞ Infinity Games,"Current Stream is a connection puzzle game, where you need to connect all the bulbs to a energy source.",Android,Puzzle,,1.0,0.0,0.0,0.0,0.0,0.0
Remastered classic JRPGs on current-gen consoles,Tetris Ultimate,30622,0.21795530928059387,"Nov 11, 2014",SoMa Play | Ubisoft Entertainment,"Tetris Ultimate has six exciting modes, fun new features, and unique visuals, the evolution of this iconic game is the ultimate must-have on next-gen consoles.",Windows PC | PlayStation 4 | Nintendo 3DS | Xbox One | PlayStation Vita,Puzzle,2.9,165.0,0.0,19.0,8.0,25.0,9.0
Remastered classic JRPGs on current-gen consoles,Call of Duty: Modern Warfare Remastered - Variety Map Pack,17599,0.21408163014184445,"Apr 20, 2017",Activision | Raven Software,The Variety Map Pack DLC for Call of Duty: Modern Warfare Remastered includes four remastered multiplayer maps from the original game.,Windows PC | PlayStation 4 | Xbox One,Shooter,,1.0,0.0,0.0,0.0,0.0,1.0
Remastered classic JRPGs on current-gen consoles,Dungeons of Kremlin: Remastered,29812,0.21271068700342205,"Oct 20, 2017",Dagestan Technology | Uncle Frost Team,"Dungeons Of Kremlin: Remastered is a throwback classic game when you have to explore dark dungeons with hordes
of creatures of russian mythology.",Windows PC,Indie,,0.0,0.0,0.0,0.0,0.0,0.0
Remastered classic JRPGs on current-gen consoles,Dark Souls: Remastered,85,0.21259666884886091,"May 23, 2018",Bandai Namco Entertainment | QLOC,"Dark Souls Remastered is a remastered version of the original game Dark Souls. The updated version of the game features graphical enhancements, an expanded online mode, and the Artorias of the Abyss DLC.",Windows PC | PlayStation 4 | Xbox One | Nintendo Switch,Adventure | RPG,4.3,13000.0,876.0,3100.0,1800.0,1600.0,944.0
Remastered classic JRPGs on current-gen consoles,Lumines Remastered,3431,0.20770502369398236,"Jun 26, 2018",Enhance | Resonair,"Lumines Remastered brings minimalism to the puzzle genre where the fusion of light and sound sets the stage for a two-color falling block experience playable on-the-go on Nintendo Switch or at home in 4K on PC and consoles. Groove to electronic jams while strategically dropping blocks before the BPM bar sweeps combos clean after each measure. It’s a stylish game perfect to play anywhere or at anytime.""",Windows PC | PlayStation 4 | Xbox One | Nintendo Switch,Arcade | Indie | Music | Puzzle,3.8,468.0,21.0,148.0,82.0,95.0,36.0
Remastered classic JRPGs on current-gen consoles,The Longest Journey Remastered,9470,0.19933107916610518,"Nov 25, 2014",Funcom,"One of the most beloved and critically acclaimed adventure games of all time is back, remastered and optimized for your mobile device!",iOS,Adventure | Point-and-Click,,0.0,0.0,5.0,1.0,0.0,0.0
Remastered classic JRPGs on current-gen consoles,Total War: Rome Remastered,38979,0.19507750346005148,"Apr 29, 2021",CREATIVE ASSEMBLY | Feral Interactive,"Total War: Rome Remastered lets you relive the legacy that defined the strategy game series. Remastered to 4K with multiple improvements to visuals as well as refinements to gameplay, it's time to revisit a true classic. Not everyone gets a second chance to conquer the Roman Empire.
Includes:
Total War: Rome Remastered + Alexander & Barbarian Invasion DLC
Rome: Total War - Collection (original 2004 title)",Windows PC | Mac | Linux,Real Time Strategy | Strategy | Turn Based Strategy,3.6,53.0,6.0,21.0,13.0,4.0,1.0
Remastered classic JRPGs on current-gen consoles,Battle of the Planets,33762,0.19248425058230476,"Dec 31, 1986",Mikro-Gen Ltd,,Commodore C64/128 | ZX Spectrum | Amstrad CPC,Shooter | Strategy,,1.0,0.0,1.0,0.0,0.0,0.0
Remastered classic JRPGs on current-gen consoles,Madden NFL 21: NXT LVL Edition,33480,0.19196869135562744,"Dec 04, 2020",EA Tiburon | Electronic Arts,"Next Gen Player Movement utilizes Next Gen Stats—leveraging real athlete data from thousands of NFL plays fed into the Madden animation engine—to create fluid, athletic player movement when accelerating, running routes, and changing direction for every player on the field.
Feel game day come to life with authentic new environments unlocked by a new deferred lighting system that improves player fidelity and enhances the details of the game in every part of the stadium. Immerse yourself in the sounds of the game with location-based audio and brave the elements as stunning weather detail powered by next gen tech adds a new level of realism.
Getting the ball into the hands of your Superstar X-Factors has never been easier with star-driven play calling. Call the right play, for the right player, in clutch moments. Re-live the thrill of victory via new Next Gen Stats-powered replays. Triggered by certain statistical moments and presented in beautifully rendered cinematics, these replays highlight the biggest plays by the best players in the game, all backed by hard data.
In the next generation of Madden NFL, there’s nothing more real than game day.",PlayStation 5 | Xbox Series,Simulator | Sport,,0.0,1.0,0.0,0.0,0.0,0.0
Popular city-building simulation games,City Island 4,36769,0.6525917660352154,TBD,,Play the most popular big city building simulation game series on mobile!,,Simulator | Strategy,,1.0,0.0,0.0,0.0,0.0,0.0
Popular city-building simulation games,Kalling Kingdom,24672,0.4406124300917648,"Sep 21, 2019",,A city building simulation & decision game.,Windows PC,Indie | Simulator | Strategy,,0.0,0.0,12.0,0.0,6.0,0.0
Popular city-building simulation games,My Colony,24008,0.42028178047021214,TBD,,A space colonization and city building simulation game.,,Indie | Simulator | Strategy,,2.0,0.0,0.0,0.0,0.0,0.0
Popular city-building simulation games,Thomas & Friends: Building the New Line,30904,0.35088333092276136,TBD,,Architectural and constructional simulation game.,,Simulator,,2.0,0.0,0.0,1.0,0.0,0.0
Popular city-building simulation games,Bolu,36249,0.3340268741109944,TBD,,"Bolu is a simulation, survival and building game with a short story set in Lake Abant.",,Adventure | Simulator,,3.0,0.0,1.0,2.0,2.0,3.0
Popular city-building simulation games,2020: My Country,21727,0.31089575006250025,"May 07, 2013",,A city building game.,Windows PC | Android | iOS,Strategy,,2.0,0.0,1.0,0.0,1.0,0.0
